stock,strategy,trades,wins,win_rate,avg_ret,total_ret,bh_ret
RELIANCE,STD_S1_BOUNCE_LONG,33,14,0.42424242424242425,-0.0004803203018169298,-0.01631136612474593,-0.08036363636363641
RELIANCE,STD_R1_BOUNCE_SHORT,23,13,0.5652173913043478,0.0005686184127985094,0.012464023575402328,-0.08036363636363641
RELIANCE,STD_R1_BREAKOUT_LONG,18,7,0.3888888888888889,-0.0011211604166418046,-0.020338853704379045,-0.08036363636363641
RELIANCE,STD_S1_BREAKDOWN_SHORT,30,15,0.5,-0.001515146062137362,-0.04498594358918484,-0.08036363636363641
RELIANCE,FIB_S1_BOUNCE_LONG,41,23,0.5609756097560976,0.0014465272530254695,0.06031421766223444,-0.08036363636363641
RELIANCE,FIB_R1_BOUNCE_SHORT,33,20,0.6060606060606061,0.0022518735568020057,0.0759929931211174,-0.08036363636363641
RELIANCE,CAM_L3_LONG,40,19,0.475,0.0004901004770710711,0.019186632213758603,-0.08036363636363641
RELIANCE,CAM_S3_SHORT,37,20,0.5405405405405406,0.0015712406504249253,0.05877836228644595,-0.08036363636363641
RELIANCE,CAM_R4_BREAKOUT_LONG,17,6,0.35294117647058826,-0.0011474499613985745,-0.01957922765498754,-0.08036363636363641
RELIANCE,CAM_S4_BREAKDOWN_SHORT,26,15,0.5769230769230769,-0.0010430478482015193,-0.02718843638687296,-0.08036363636363641
TCS,STD_S1_BOUNCE_LONG,38,19,0.5,-0.0016649765397940563,-0.06334900461351001,-0.1554545454545455
TCS,STD_R1_BOUNCE_SHORT,28,20,0.7142857142857143,0.001836948823362193,0.05181225004248469,-0.1554545454545455
TCS,STD_R1_BREAKOUT_LONG,21,4,0.19047619047619047,-0.007123453007193208,-0.1397483373806956,-0.1554545454545455
TCS,STD_S1_BREAKDOWN_SHORT,27,14,0.5185185185185185,0.00020505366073247347,0.004659757928594299,-0.1554545454545455
TCS,FIB_S1_BOUNCE_LONG,43,17,0.3953488372093023,-0.00038131526022549915,-0.017052194980696656,-0.1554545454545455
TCS,FIB_R1_BOUNCE_SHORT,33,18,0.5454545454545454,0.001005956763343764,0.03322361015726516,-0.1554545454545455
TCS,CAM_L3_LONG,42,15,0.35714285714285715,-0.0008221871338353689,-0.03489489353049635,-0.1554545454545455
TCS,CAM_S3_SHORT,40,18,0.45,0.000803055680805501,0.03136046754838939,-0.1554545454545455
TCS,CAM_R4_BREAKOUT_LONG,19,3,0.15789473684210525,-0.0062764193872558716,-0.11307431185616335,-0.1554545454545455
TCS,CAM_S4_BREAKDOWN_SHORT,26,11,0.4230769230769231,-0.0019431266036995945,-0.04993311187657268,-0.1554545454545455
HDFCBANK,STD_S1_BOUNCE_LONG,33,16,0.48484848484848486,0.0023258142206233233,0.07654681277666553,-0.0966060606060607
